Age,Gender,Location,Lead_Source,Interest_Level,Follow_Ups,Lead_Converted,Course,Course_Level,Course_Duration_Weeks,Attendance,Test_Score,Project_Marks,Performance_Score,PIP_Flag,Top_Performer_Flag,Joined,Employment_Type,Basic_Salary,HRA,TA,PF,CTC
26,Male,Spain,Walk-in,3,4,1,Data Science,Intermediate,13,76,44,91,69.2,0,0,1,Contract,2588,605.64,245.68,294.39,3733.71
37,Male,Spain,Referral,5,6,1,Python,Intermediate,9,73,64,47,59.0,1,0,1,Contract,2631,642.93,254.42,315.35,3843.7
23,Male,Poland,Email Campaign,3,6,1,Business Analytics,Advanced,20,66,88,45,66.4,0,0,1,Contract,2643,574.39,243.22,285.21,3745.82
44,Male,Spain,Email Campaign,3,4,1,Business Analytics,Advanced,9,81,99,70,83.8,0,0,1,Permanent,2974,556.15,316.03,334.55,4180.73
33,Female,France,LinkedIn,5,0,1,HR Analytics,Intermediate,7,60,76,68,69.6,0,0,1,Contract,2918,645.49,340.69,348.0,4252.17
37,Female,Poland,Walk-in,1,6,0,Python,Intermediate,23,88,73,93,84.0,0,0,0,Contract,1983,464.99,190.42,231.28,2869.68
28,Female,Spain,Website,3,1,0,Data Science,Beginner,6,90,48,79,68.8,0,0,0,Contract,2598,484.61,227.83,283.89,3594.33
40,Male,Poland,Website,3,1,0,Data Science,Beginner,22,89,45,58,59.0,1,0,0,Contract,1985,381.29,180.3,227.78,2774.36
21,Female,Italy,Email Campaign,4,6,1,Business Analytics,Advanced,21,74,57,47,56.4,1,0,1,Contract,2892,523.05,330.15,296.61,4041.81
39,Female,France,Referral,5,1,1,Business Analytics,Intermediate,7,77,53,57,59.4,1,0,1,Contract,2637,584.24,271.26,290.71,3783.21
34,Male,Spain,Email Campaign,2,4,0,ML Engineering,Advanced,11,94,58,91,78.4,0,0,0,Contract,2426,587.27,238.23,256.14,3507.64
26,Male,Italy,Email Campaign,1,5,1,Business Analytics,Beginner,20,89,53,94,76.6,0,0,1,Contract,2658,603.22,228.55,274.37,3764.14
31,Female,Italy,Website,1,5,0,ML Engineering,Beginner,8,93,79,58,73.4,0,0,0,Contract,1807,449.48,177.07,196.11,2629.65
27,Male,Poland,Email Campaign,5,3,1,Data Science,Advanced,16,70,56,65,62.4,0,0,1,Contract,2582,476.15,235.32,264.97,3558.44
34,Female,Italy,Referral,4,7,1,ML Engineering,Beginner,4,86,99,70,84.8,0,0,1,Permanent,2525,614.11,297.26,287.8,3724.16
22,Male,France,Referral,4,7,1,ML Engineering,Intermediate,16,83,74,47,65.0,0,0,1,Contract,2806,664.98,323.71,306.2,4100.89
33,Female,France,LinkedIn,5,5,1,HR Analytics,Advanced,7,94,68,95,84.0,0,0,1,Permanent,3600,727.19,300.08,398.24,5025.51
36,Male,Germany,Walk-in,4,2,1,Business Analytics,Intermediate,17,98,81,84,85.6,0,1,1,Permanent,2716,673.97,273.41,279.55,3942.93
23,Male,France,Website,1,4,0,ML Engineering,Intermediate,6,67,56,48,55.0,1,0,0,Contract,2010,402.31,178.89,206.62,2797.83
37,Male,Italy,Referral,1,1,0,Data Science,Beginner,8,77,98,80,86.6,0,1,0,Contract,2289,554.51,220.73,255.61,3319.85
27,Female,France,LinkedIn,2,6,1,Python,Intermediate,10,72,82,95,85.2,0,1,1,Permanent,3273,790.93,376.64,391.78,4832.34
23,Female,Poland,LinkedIn,5,5,1,ML Engineering,Advanced,4,83,47,87,70.2,0,0,1,Contract,1990,463.74,201.19,202.83,2857.76
21,Male,Germany,LinkedIn,3,4,1,Business Analytics,Intermediate,15,82,40,45,50.4,1,0,0,Contract,2470,542.02,230.62,261.12,3503.76
25,Male,Italy,Website,3,5,1,HR Analytics,Intermediate,14,71,84,84,81.4,0,0,1,Permanent,3217,606.08,284.11,377.64,4484.84
41,Female,Germany,Website,2,0,0,Data Science,Intermediate,11,89,92,91,91.0,0,1,0,Contract,2134,463.59,239.04,216.48,3053.11
29,Male,Italy,Referral,2,1,0,HR Analytics,Intermediate,9,90,75,77,78.8,0,0,0,Contract,2910,596.48,305.49,341.98,4153.95
23,Female,Poland,Email Campaign,4,0,1,Python,Intermediate,5,87,46,51,56.2,1,0,1,Contract,2378,559.91,234.76,262.74,3435.41
41,Male,Germany,Website,2,1,0,ML Engineering,Beginner,22,81,85,97,89.0,0,1,0,Contract,1861,433.74,165.07,201.3,2661.11
37,Male,Spain,Website,2,4,0,ML Engineering,Advanced,23,87,44,96,73.4,0,0,0,Contract,2186,532.82,204.11,232.14,3155.07
31,Male,Italy,Walk-in,3,3,1,Business Analytics,Beginner,23,72,63,96,78.0,0,0,1,Contract,2969,537.5,351.51,314.54,4172.56
21,Male,Spain,Website,4,5,1,ML Engineering,Advanced,17,84,67,55,65.6,0,0,1,Contract,1952,461.92,196.77,207.14,2817.82
29,Female,Germany,Walk-in,2,5,1,Data Science,Advanced,4,66,82,71,74.4,0,0,1,Contract,2418,594.08,232.2,284.59,3528.87
23,Male,Spain,LinkedIn,2,2,0,Python,Advanced,13,65,56,58,58.6,1,0,0,Contract,2497,587.42,251.84,285.85,3622.11
33,Male,Spain,Email Campaign,4,6,1,HR Analytics,Advanced,19,83,76,66,73.4,0,0,1,Contract,1977,373.88,219.76,224.18,2794.82
35,Female,Germany,Website,5,0,1,Python,Advanced,7,78,59,60,63.2,0,0,1,Contract,2646,491.33,247.68,306.87,3691.88
34,Male,Poland,Website,4,5,1,ML Engineering,Intermediate,14,78,42,90,68.4,0,0,1,Contract,2286,414.82,199.22,240.36,3140.39
27,Male,Spain,LinkedIn,3,4,1,HR Analytics,Beginner,19,95,76,56,71.8,0,0,1,Contract,2299,515.0,237.71,258.32,3310.03
33,Female,Spain,Email Campaign,5,3,1,Business Analytics,Beginner,23,68,65,93,76.8,0,0,1,Contract,2340,524.34,249.46,255.53,3369.33
42,Female,Poland,LinkedIn,1,6,0,Python,Intermediate,4,95,54,90,76.6,0,0,0,Contract,1812,451.34,196.62,209.56,2669.51
44,Male,Spain,Website,4,4,1,HR Analytics,Advanced,19,97,90,54,77.0,0,0,1,Contract,1950,405.33,224.8,207.06,2787.19
27,Female,Spain,Email Campaign,3,0,0,HR Analytics,Beginner,22,99,87,68,81.8,0,0,0,Contract,2873,583.89,272.5,324.26,4053.64
40,Female,Spain,Email Campaign,5,2,1,HR Analytics,Intermediate,12,88,47,90,72.4,0,0,1,Contract,2790,624.15,231.61,328.23,3973.99
35,Male,France,LinkedIn,4,5,1,Data Science,Intermediate,12,83,52,62,62.2,0,0,1,Contract,2443,580.93,289.09,263.95,3576.97
32,Male,Poland,Email Campaign,2,4,0,Python,Beginner,12,64,87,66,74.0,0,0,0,Contract,2171,533.14,211.46,219.99,3135.59
37,Female,Spain,Email Campaign,4,6,1,HR Analytics,Beginner,20,85,42,53,55.0,1,0,0,Contract,2936,693.54,308.08,323.9,4261.52
34,Female,Poland,LinkedIn,1,1,0,Python,Advanced,15,73,40,61,55.0,1,0,0,Contract,2051,430.44,218.74,219.29,2919.47
40,Male,Italy,Website,4,3,1,HR Analytics,Advanced,16,98,48,82,71.6,0,0,1,Contract,1852,415.67,188.65,210.1,2666.42
43,Female,Italy,Referral,5,6,1,Business Analytics,Beginner,11,88,70,84,79.2,0,0,1,Contract,2953,708.55,260.49,351.47,4273.5
44,Female,Spain,Website,5,4,1,Business Analytics,Advanced,19,65,80,57,67.8,0,0,1,Contract,1992,426.97,219.53,218.55,2857.05
32,Male,Poland,Referral,4,3,1,Business Analytics,Intermediate,21,66,93,94,88.0,0,1,1,Permanent,3830,747.49,429.53,418.71,5425.74
28,Male,Poland,Referral,5,5,1,ML Engineering,Advanced,4,96,65,81,77.6,0,0,1,Contract,2880,552.62,294.1,325.7,4052.42
34,Male,Poland,Website,2,1,0,HR Analytics,Advanced,4,77,56,50,57.8,1,0,0,Contract,1896,341.3,188.73,193.52,2619.56
32,Female,France,Referral,4,2,1,ML Engineering,Intermediate,15,82,95,65,80.4,0,0,1,Permanent,3010,693.13,254.52,316.26,4273.91
20,Male,Italy,Website,2,6,1,Python,Advanced,9,97,73,95,86.6,0,1,1,Permanent,3024,567.84,252.07,357.98,4201.89
44,Male,Poland,Email Campaign,2,2,0,ML Engineering,Intermediate,12,60,48,80,63.2,0,0,0,Contract,2522,497.01,236.02,285.99,3541.01
26,Female,Poland,Walk-in,3,1,0,Python,Advanced,8,63,95,51,71.0,0,0,0,Contract,2483,498.71,229.51,248.97,3460.19
28,Female,France,Website,4,3,1,Python,Beginner,19,94,90,80,86.8,0,1,1,Permanent,3060,670.83,361.53,318.52,4410.88
43,Male,France,Walk-in,5,5,1,Python,Advanced,21,82,52,69,64.8,0,0,1,Contract,2132,443.15,237.39,242.32,3054.85
20,Female,Poland,Referral,2,4,0,ML Engineering,Beginner,20,86,44,55,56.8,1,0,0,Contract,2311,525.12,245.88,266.43,3348.44
31,Male,Germany,Website,3,1,0,HR Analytics,Beginner,21,85,80,88,84.2,0,0,0,Contract,1971,362.46,198.49,230.21,2762.16
27,Female,Poland,Website,4,0,1,ML Engineering,Beginner,4,67,52,58,57.4,1,0,1,Contract,2989,563.95,259.13,316.37,4128.45
43,Male,Poland,Referral,4,3,1,HR Analytics,Beginner,22,75,40,89,66.6,0,0,1,Contract,2993,643.33,356.58,355.03,4347.94
30,Male,France,Email Campaign,1,2,0,HR Analytics,Beginner,11,62,64,73,67.2,0,0,0,Contract,2363,481.08,224.49,262.43,3331.0
38,Female,France,LinkedIn,1,6,1,Python,Intermediate,6,91,86,54,74.2,0,0,1,Contract,2311,463.83,194.76,263.29,3232.89
36,Male,Poland,Website,2,1,0,ML Engineering,Intermediate,8,64,43,94,67.6,0,0,0,Contract,2943,543.55,293.57,329.42,4109.54
27,Male,Poland,Website,1,2,0,HR Analytics,Intermediate,11,79,75,92,82.6,0,0,0,Contract,1904,462.1,218.88,195.07,2780.06
22,Female,Poland,Referral,2,3,0,Business Analytics,Beginner,22,73,91,49,70.6,0,0,0,Contract,2473,564.9,285.61,294.94,3618.45
22,Female,France,Website,5,2,1,HR Analytics,Advanced,21,91,49,52,58.6,1,0,1,Contract,2606,491.27,209.62,267.0,3573.89
20,Female,Poland,Website,2,1,0,Business Analytics,Intermediate,21,85,67,90,79.8,0,0,0,Contract,2864,528.56,330.65,301.0,4024.21
24,Female,Poland,Website,1,3,0,ML Engineering,Advanced,4,65,96,49,71.0,0,0,0,Contract,2688,667.27,244.23,312.54,3912.04
29,Male,Spain,Email Campaign,5,0,1,ML Engineering,Advanced,18,95,45,68,64.2,0,0,1,Contract,2675,609.05,218.17,300.59,3802.81
26,Male,Germany,Walk-in,1,1,0,ML Engineering,Beginner,21,99,66,84,79.8,0,0,0,Contract,2476,518.03,282.05,289.11,3565.18
28,Male,Italy,Referral,2,4,0,HR Analytics,Beginner,10,64,95,70,78.8,0,0,0,Contract,2120,485.74,242.86,233.87,3082.46
26,Male,Germany,Walk-in,3,7,1,Data Science,Beginner,19,72,51,50,54.8,1,0,0,Contract,2134,497.1,221.61,229.49,3082.21
28,Female,Spain,Referral,4,5,1,HR Analytics,Intermediate,19,91,91,60,78.6,0,0,1,Contract,2983,699.8,307.18,353.3,4343.28
27,Male,Italy,Referral,1,1,0,HR Analytics,Beginner,18,75,87,80,81.8,0,0,0,Contract,2063,440.35,232.14,207.8,2943.28
31,Male,Poland,Website,2,3,1,Python,Intermediate,9,60,42,56,51.2,1,0,0,Contract,2664,559.68,296.91,312.01,3832.61
21,Male,Spain,LinkedIn,5,6,1,Python,Intermediate,12,72,85,55,70.4,0,0,1,Contract,2151,388.84,248.66,225.03,3013.53
20,Female,Poland,Walk-in,1,5,0,HR Analytics,Intermediate,10,70,72,47,61.6,0,0,0,Contract,2475,606.03,252.72,289.51,3623.26
35,Male,France,LinkedIn,1,1,0,Business Analytics,Intermediate,17,67,49,88,68.2,0,0,0,Contract,2718,604.03,322.64,279.37,3924.03
42,Male,Spain,Referral,4,0,1,Python,Beginner,14,84,70,81,77.2,0,0,1,Contract,1804,350.37,216.2,201.33,2571.91
42,Male,France,LinkedIn,2,6,1,HR Analytics,Intermediate,19,99,54,50,61.4,0,0,1,Contract,1833,447.93,155.19,215.86,2651.98
43,Female,Spain,Website,3,0,0,Data Science,Beginner,9,91,46,63,61.8,0,0,0,Contract,2968,724.33,338.3,324.91,4355.53
24,Male,Spain,Email Campaign,5,4,1,Business Analytics,Beginner,19,83,75,62,71.4,0,0,1,Contract,2150,535.87,214.98,247.1,3147.96
22,Female,France,Referral,2,6,1,ML Engineering,Intermediate,23,87,53,60,62.6,0,0,1,Contract,2382,574.5,227.49,276.53,3460.52
31,Female,Italy,Referral,5,2,1,HR Analytics,Beginner,19,73,95,67,79.4,0,0,1,Contract,2264,565.65,236.64,259.75,3326.04
27,Male,Germany,LinkedIn,1,7,1,HR Analytics,Advanced,15,62,87,87,82.0,0,0,1,Permanent,2785,549.0,229.03,330.04,3893.08
41,Female,Poland,LinkedIn,4,6,1,Business Analytics,Beginner,20,95,53,81,72.6,0,0,1,Contract,1924,459.75,192.9,209.59,2786.25
22,Female,Spain,Website,4,5,1,Python,Beginner,8,86,42,53,55.2,1,0,1,Contract,2156,512.29,247.59,223.07,3138.94
20,Female,Poland,LinkedIn,3,6,1,Python,Intermediate,16,79,88,47,69.8,0,0,1,Contract,2326,456.28,205.94,234.82,3223.05
22,Male,France,Website,4,3,1,Python,Intermediate,11,74,92,52,72.4,0,0,1,Contract,2297,429.29,222.94,241.02,3190.25
24,Male,Poland,LinkedIn,1,7,1,ML Engineering,Beginner,8,86,85,82,84.0,0,0,1,Permanent,2549,633.58,299.71,262.2,3744.49
34,Female,France,Email Campaign,3,3,1,Business Analytics,Intermediate,15,87,89,48,72.2,0,0,1,Contract,1852,371.74,179.91,205.87,2609.51
33,Male,Poland,Email Campaign,2,2,0,Business Analytics,Advanced,12,84,42,56,56.0,1,0,0,Contract,1948,469.39,183.76,202.01,2803.16
22,Female,Germany,LinkedIn,4,6,1,Python,Advanced,6,92,61,88,78.0,0,0,1,Contract,2302,415.03,224.72,231.99,3173.74
20,Female,Germany,Referral,3,0,0,Python,Intermediate,6,73,58,75,67.8,0,0,0,Contract,2669,484.35,268.98,268.82,3691.15
24,Female,Germany,Website,1,0,0,Data Science,Beginner,4,67,74,69,70.6,0,0,0,Contract,2018,429.05,212.45,235.36,2894.87
42,Male,Germany,Email Campaign,5,1,1,Data Science,Advanced,21,73,51,97,73.8,0,0,1,Contract,2251,442.79,252.17,251.73,3197.7
33,Male,Germany,Website,5,4,1,HR Analytics,Advanced,15,60,93,60,73.2,0,0,1,Contract,1882,429.64,184.59,201.68,2697.91
26,Female,Germany,Referral,1,5,0,HR Analytics,Beginner,12,75,44,86,67.0,0,0,0,Contract,2537,557.1,285.92,299.07,3679.09
28,Female,France,Website,1,7,1,Business Analytics,Intermediate,12,77,49,98,74.2,0,0,1,Contract,2326,431.3,235.74,235.87,3228.9
34,Male,Spain,Website,5,4,1,Business Analytics,Advanced,21,66,80,58,68.4,0,0,1,Contract,2203,421.62,206.07,263.49,3094.18
34,Female,Poland,LinkedIn,3,6,1,ML Engineering,Beginner,21,74,72,57,66.4,0,0,1,Contract,2089,432.76,222.1,234.65,2978.51
29,Female,Germany,Website,5,4,1,ML Engineering,Beginner,10,83,52,85,71.4,0,0,1,Contract,2219,428.25,241.23,230.04,3118.52
32,Male,France,LinkedIn,1,1,0,Data Science,Advanced,7,72,74,51,64.4,0,0,0,Contract,2138,503.4,218.76,242.84,3103.01
38,Male,France,Referral,4,4,1,HR Analytics,Intermediate,16,68,90,56,72.0,0,0,1,Contract,2576,538.71,211.91,296.93,3623.55
26,Male,France,Website,2,7,1,Data Science,Advanced,20,74,71,81,75.6,0,0,1,Contract,2510,468.22,217.86,272.55,3468.63
36,Male,Spain,Referral,4,2,1,Data Science,Beginner,5,94,50,94,76.4,0,0,1,Contract,2786,595.94,254.67,326.61,3963.22
39,Male,Poland,Website,4,1,1,HR Analytics,Advanced,17,83,87,48,70.6,0,0,1,Contract,2758,513.98,251.82,284.11,3807.91
23,Female,Spain,Website,1,2,0,ML Engineering,Intermediate,6,92,77,46,67.6,0,0,0,Contract,2485,469.73,265.74,262.36,3482.82
24,Male,Italy,LinkedIn,5,6,1,HR Analytics,Beginner,8,75,63,79,71.8,0,0,1,Contract,2859,562.57,230.82,291.25,3943.64
42,Male,France,Website,3,1,0,Python,Intermediate,17,67,74,88,78.2,0,0,0,Contract,2172,521.64,239.41,226.36,3159.42
26,Male,Italy,Email Campaign,4,6,1,Python,Advanced,6,88,58,47,59.6,1,0,1,Contract,2793,683.51,253.08,292.64,4022.23
32,Male,Germany,Website,5,6,1,Python,Advanced,10,82,45,48,53.6,1,0,0,Contract,2330,554.16,215.29,275.76,3375.22
34,Female,Germany,Website,3,4,1,Business Analytics,Intermediate,21,90,79,82,82.4,0,0,1,Permanent,3379,687.24,341.67,343.18,4751.09
30,Male,Spain,LinkedIn,4,2,1,ML Engineering,Advanced,16,99,93,56,79.4,0,0,1,Contract,1822,362.71,161.5,197.78,2543.98
23,Male,Poland,Referral,3,6,1,ML Engineering,Intermediate,13,73,84,63,73.4,0,0,1,Contract,1903,415.69,219.57,210.56,2748.82
32,Female,Italy,Website,5,2,1,Business Analytics,Advanced,16,89,83,54,72.6,0,0,1,Contract,2040,470.28,170.17,240.67,2921.11
26,Male,Poland,Referral,2,2,0,Data Science,Intermediate,19,98,81,45,70.0,0,0,0,Contract,2804,699.7,274.16,336.35,4114.21
38,Male,Spain,Website,5,1,1,Python,Intermediate,12,86,74,61,71.2,0,0,1,Contract,2702,511.25,307.97,310.91,3832.12
41,Male,Germany,Email Campaign,1,3,0,Python,Beginner,5,75,43,60,56.2,1,0,0,Contract,2965,543.93,310.24,354.07,4173.24
21,Male,Poland,Referral,3,4,1,Data Science,Beginner,8,65,72,53,63.0,0,0,1,Contract,2613,597.34,239.59,302.43,3752.37
29,Male,Poland,Email Campaign,2,6,1,HR Analytics,Intermediate,20,92,52,97,78.0,0,0,1,Contract,2454,584.68,237.62,292.67,3568.98
32,Male,Germany,Email Campaign,3,2,0,HR Analytics,Advanced,7,77,95,53,74.6,0,0,0,Contract,2582,617.73,279.55,294.72,3774.0
44,Male,Italy,Referral,3,5,1,ML Engineering,Advanced,20,75,75,99,84.6,0,0,1,Permanent,3336,758.91,396.75,338.92,4830.59
40,Female,Germany,Walk-in,4,3,1,Business Analytics,Advanced,12,71,93,53,72.6,0,0,1,Contract,1807,445.93,209.12,195.23,2657.27
25,Male,Poland,Referral,1,6,1,ML Engineering,Intermediate,23,79,82,56,71.0,0,0,1,Contract,2892,624.01,270.97,326.6,4113.58
31,Male,Italy,Walk-in,3,5,1,HR Analytics,Intermediate,5,99,58,99,82.6,0,0,1,Permanent,3293,803.38,394.92,352.4,4843.7
31,Female,Italy,Website,5,4,1,Data Science,Intermediate,21,88,82,85,84.4,0,0,1,Permanent,2921,723.67,234.09,308.07,4186.83
39,Male,Germany,LinkedIn,5,4,1,ML Engineering,Intermediate,14,89,51,59,61.8,0,0,1,Contract,2711,648.75,219.88,302.41,3882.03
30,Female,Poland,Referral,4,2,1,Python,Beginner,16,85,50,46,55.4,1,0,1,Contract,2317,467.3,261.71,274.96,3320.97
42,Male,Spain,Referral,1,2,0,Python,Intermediate,11,81,45,55,56.2,1,0,0,Contract,2942,569.97,258.83,296.26,4067.06
44,Female,Poland,LinkedIn,1,7,1,Data Science,Advanced,4,92,51,55,60.8,0,0,1,Contract,2854,623.22,235.26,329.31,4041.79
26,Male,France,LinkedIn,5,7,1,HR Analytics,Beginner,20,98,66,52,66.8,0,0,1,Contract,2282,483.12,204.21,261.19,3230.52
20,Male,Spain,Website,2,6,1,Python,Advanced,15,88,80,99,89.2,0,1,1,Permanent,2987,721.19,289.87,356.29,4354.35
20,Male,Italy,Website,4,1,1,Python,Intermediate,7,81,64,76,72.2,0,0,1,Contract,2468,461.52,269.56,292.74,3491.82
44,Female,Spain,LinkedIn,4,3,1,Business Analytics,Beginner,16,72,81,50,66.8,0,0,1,Contract,2378,470.94,249.63,274.05,3372.62
44,Male,Italy,LinkedIn,5,6,1,ML Engineering,Intermediate,12,68,42,97,69.2,0,0,1,Contract,2186,508.52,195.66,241.35,3131.53
39,Male,Italy,Walk-in,5,3,1,HR Analytics,Beginner,10,83,42,64,59.0,1,0,1,Contract,2211,412.68,221.39,230.13,3075.2
32,Male,Spain,Email Campaign,2,2,0,ML Engineering,Advanced,8,74,59,83,71.6,0,0,0,Contract,2690,544.6,314.86,298.33,3847.79
28,Female,Italy,Walk-in,2,4,1,HR Analytics,Intermediate,8,95,67,79,77.4,0,0,1,Contract,2705,560.21,304.58,311.91,3881.7
